"","variable","bias","p"
"1","Nat_M",0.00187618181818184,0.00387495960845602
"2","annF_Btgt",0.00417345454545458,0.00632199831773266
"3","Q",-0.00304179026339871,-0.00277281692671386
"4","SSB_UN",1812.18181818182,0.00545795154048725
"5","SSBfore",1071.45454545454,0.0117706040499027
"6","ABCfore",706.809090909091,0.025414274343674
