"","Yr","SSB","SSB_PER","SB100","SB40","SB35","F40","F35","C_ABC","C_OFL"
"1",2023,45514,0.274159252588653,166013,66405.2,58104.55,0.441555,0.548339,27811.5,33493.7
"2",2024,41506.8,0.250021383867528,166013,66405.2,58104.55,0.399626,0.496271,23853.2,28896.6
