"","Yr","SSB","SSB_PER","SB100","SB40","SB35","F40","F35","C_ABC","C_OFL"
"1",2023,44734.4,0.277613737208249,161139,64455.6,56398.65,0.436339,0.541346,26993,32479
"2",2024,39787.1,0.246911672531169,161139,64455.6,56398.65,0.384345,0.476839,22034.9,26682.9
